1202 | 12/09/2022 | 22:13:30 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.76 < Threshold 2.88 Volts
10c8 | 12/09/2022 | 21:49:18 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10c9 | 12/09/2022 | 21:49:18 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10ca | 12/09/2022 | 21:49:45 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10cb | 12/09/2022 | 21:49:45 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10cc | 12/09/2022 | 21:49:51 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10cd | 12/09/2022 | 21:49:51 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10ce | 12/09/2022 | 21:50:15 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10cf | 12/09/2022 | 21:50:16 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10d0 | 12/09/2022 | 21:50:18 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
10d1 | 12/09/2022 | 21:50:21 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.12 < Threshold 2.88 Volts
10d2 | 12/09/2022 | 21:50:22 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.12 < Threshold 2.90 Volts
10d3 | 12/09/2022 | 21:50:22 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
10d4 | 12/09/2022 | 21:50:24 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10d5 | 12/09/2022 | 21:50:27 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10d6 | 12/09/2022 | 21:50:53 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10d7 | 12/09/2022 | 21:50:56 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10d8 | 12/09/2022 | 21:51:17 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10d9 | 12/09/2022 | 21:51:23 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10da | 12/09/2022 | 21:51:29 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.14 < Threshold 2.90 Volts
10db | 12/09/2022 | 21:51:29 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.14 < Threshold 2.93 Volts
10dc | 12/09/2022 | 21:51:35 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10dd | 12/09/2022 | 21:51:38 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10de | 12/09/2022 | 21:51:41 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10df | 12/09/2022 | 21:51:44 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10e0 | 12/09/2022 | 21:51:47 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10e1 | 12/09/2022 | 21:51:50 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10e2 | 12/09/2022 | 21:52:02 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10e3 | 12/09/2022 | 21:52:05 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
10e4 | 12/09/2022 | 21:52:15 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10e5 | 12/09/2022 | 21:52:21 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10e6 | 12/09/2022 | 21:52:30 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
10e7 | 12/09/2022 | 21:52:30 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10e8 | 12/09/2022 | 21:52:39 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10e9 | 12/09/2022 | 21:52:42 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
10ea | 12/09/2022 | 21:52:51 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10eb | 12/09/2022 | 21:52:51 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10ec | 12/09/2022 | 21:52:54 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
10ed | 12/09/2022 | 21:52:54 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10ee | 12/09/2022 | 21:53:00 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
10ef | 12/09/2022 | 21:53:00 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
10f0 | 12/09/2022 | 21:53:01 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
10f1 | 12/09/2022 | 21:53:06 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
10f2 | 12/09/2022 | 21:53:06 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10f3 | 12/09/2022 | 21:53:07 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10f4 | 12/09/2022 | 21:53:15 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
10f5 | 12/09/2022 | 21:53:15 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
10f6 | 12/09/2022 | 21:53:16 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
10f7 | 12/09/2022 | 21:53:24 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
10f8 | 12/09/2022 | 21:53:25 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10f9 | 12/09/2022 | 21:53:25 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10fa | 12/09/2022 | 21:53:27 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10fb | 12/09/2022 | 21:53:28 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10fc | 12/09/2022 | 21:53:33 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10fd | 12/09/2022 | 21:53:34 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10fe | 12/09/2022 | 21:53:39 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10ff | 12/09/2022 | 21:53:40 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1100 | 12/09/2022 | 21:53:42 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1101 | 12/09/2022 | 21:53:43 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1102 | 12/09/2022 | 21:55:20 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1103 | 12/09/2022 | 21:55:26 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1104 | 12/09/2022 | 21:56:15 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
1105 | 12/09/2022 | 21:56:15 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1106 | 12/09/2022 | 21:56:24 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.12 < Threshold 2.90 Volts
1107 | 12/09/2022 | 21:56:24 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
1108 | 12/09/2022 | 21:56:36 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1109 | 12/09/2022 | 21:56:42 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
110a | 12/09/2022 | 21:57:22 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
110b | 12/09/2022 | 21:57:25 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
110c | 12/09/2022 | 21:57:37 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
110d | 12/09/2022 | 21:57:40 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
110e | 12/09/2022 | 21:57:46 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
110f | 12/09/2022 | 21:57:49 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1110 | 12/09/2022 | 21:58:22 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
1111 | 12/09/2022 | 21:58:23 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1112 | 12/09/2022 | 21:58:25 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1113 | 12/09/2022 | 21:58:40 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
1114 | 12/09/2022 | 21:58:41 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1115 | 12/09/2022 | 21:58:41 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1116 | 12/09/2022 | 21:59:08 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1117 | 12/09/2022 | 21:59:11 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1118 | 12/09/2022 | 21:59:20 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1119 | 12/09/2022 | 21:59:26 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
111a | 12/09/2022 | 21:59:27 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
111b | 12/09/2022 | 21:59:27 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
111c | 12/09/2022 | 21:59:30 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
111d | 12/09/2022 | 21:59:30 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
111e | 12/09/2022 | 21:59:33 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
111f | 12/09/2022 | 21:59:33 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1120 | 12/09/2022 | 21:59:36 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1121 | 12/09/2022 | 21:59:45 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1122 | 12/09/2022 | 21:59:48 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
1123 | 12/09/2022 | 21:59:48 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
1124 | 12/09/2022 | 21:59:49 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1125 | 12/09/2022 | 21:59:51 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 2.95 < Threshold 2.88 Volts
1126 | 12/09/2022 | 21:59:54 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.12 < Threshold 2.90 Volts
1127 | 12/09/2022 | 21:59:54 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
1128 | 12/09/2022 | 21:59:57 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1129 | 12/09/2022 | 22:00:03 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
112a | 12/09/2022 | 22:00:04 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
112b | 12/09/2022 | 22:00:06 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
112c | 12/09/2022 | 22:00:07 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
112d | 12/09/2022 | 22:00:07 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
112e | 12/09/2022 | 22:00:24 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
112f | 12/09/2022 | 22:00:25 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1130 | 12/09/2022 | 22:00:27 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1131 | 12/09/2022 | 22:00:30 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
1132 | 12/09/2022 | 22:00:31 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1133 | 12/09/2022 | 22:00:31 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1134 | 12/09/2022 | 22:00:34 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1135 | 12/09/2022 | 22:00:37 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1136 | 12/09/2022 | 22:00:40 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
1137 | 12/09/2022 | 22:00:43 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3 < Threshold 2.88 Volts
1138 | 12/09/2022 | 22:00:43 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3 < Threshold 2.90 Volts
1139 | 12/09/2022 | 22:00:43 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
113a | 12/09/2022 | 22:00:52 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
113b | 12/09/2022 | 22:00:58 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
113c | 12/09/2022 | 22:01:01 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
113d | 12/09/2022 | 22:01:10 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
113e | 12/09/2022 | 22:01:16 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.83 < Threshold 2.93 Volts
113f | 12/09/2022 | 22:01:16 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.83 < Threshold 2.90 Volts
1140 | 12/09/2022 | 22:01:17 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
1141 | 12/09/2022 | 22:01:19 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
1142 | 12/09/2022 | 22:01:19 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1143 | 12/09/2022 | 22:01:20 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1144 | 12/09/2022 | 22:01:22 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
1145 | 12/09/2022 | 22:01:22 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
1146 | 12/09/2022 | 22:01:23 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
1147 | 12/09/2022 | 22:01:25 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
1148 | 12/09/2022 | 22:01:25 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1149 | 12/09/2022 | 22:01:26 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
114a | 12/09/2022 | 22:01:28 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
114b | 12/09/2022 | 22:01:31 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
114c | 12/09/2022 | 22:01:34 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
114d | 12/09/2022 | 22:01:34 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
114e | 12/09/2022 | 22:01:40 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3 < Threshold 2.90 Volts
114f | 12/09/2022 | 22:01:40 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
1150 | 12/09/2022 | 22:01:52 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1151 | 12/09/2022 | 22:02:04 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
1152 | 12/09/2022 | 22:02:29 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
1153 | 12/09/2022 | 22:02:29 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
1154 | 12/09/2022 | 22:02:29 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1155 | 12/09/2022 | 22:02:32 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 2.95 < Threshold 2.88 Volts
1156 | 12/09/2022 | 22:02:35 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1157 | 12/09/2022 | 22:02:38 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 2.95 < Threshold 2.88 Volts
1158 | 12/09/2022 | 22:02:41 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3 < Threshold 2.90 Volts
1159 | 12/09/2022 | 22:02:41 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
115a | 12/09/2022 | 22:02:47 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
115b | 12/09/2022 | 22:02:50 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
115c | 12/09/2022 | 22:02:56 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.12 < Threshold 2.90 Volts
115d | 12/09/2022 | 22:02:56 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
115e | 12/09/2022 | 22:03:41 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
115f | 12/09/2022 | 22:03:42 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
1160 | 12/09/2022 | 22:03:42 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1161 | 12/09/2022 | 22:03:44 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
1162 | 12/09/2022 | 22:03:45 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1163 | 12/09/2022 | 22:03:45 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1164 | 12/09/2022 | 22:03:45 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1165 | 12/09/2022 | 22:03:51 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1166 | 12/09/2022 | 22:04:25 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
1167 | 12/09/2022 | 22:04:25 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1168 | 12/09/2022 | 22:04:28 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1169 | 12/09/2022 | 22:04:28 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
116a | 12/09/2022 | 22:04:37 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
116b | 12/09/2022 | 22:04:37 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
116c | 12/09/2022 | 22:04:38 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
116d | 12/09/2022 | 22:04:43 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 2.95 < Threshold 2.88 Volts
116e | 12/09/2022 | 22:04:46 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
116f | 12/09/2022 | 22:04:46 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1170 | 12/09/2022 | 22:04:52 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1171 | 12/09/2022 | 22:04:58 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1172 | 12/09/2022 | 22:05:01 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1173 | 12/09/2022 | 22:05:01 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1174 | 12/09/2022 | 22:05:07 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1175 | 12/09/2022 | 22:05:10 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1176 | 12/09/2022 | 22:05:31 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1177 | 12/09/2022 | 22:05:35 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
1178 | 12/09/2022 | 22:05:35 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1179 | 12/09/2022 | 22:05:50 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
117a | 12/09/2022 | 22:05:50 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
117b | 12/09/2022 | 22:05:50 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
117c | 12/09/2022 | 22:05:53 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
117d | 12/09/2022 | 22:05:53 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
117e | 12/09/2022 | 22:05:53 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
117f | 12/09/2022 | 22:06:05 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
1180 | 12/09/2022 | 22:06:05 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1181 | 12/09/2022 | 22:06:05 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1182 | 12/09/2022 | 22:06:11 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
1183 | 12/09/2022 | 22:06:11 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1184 | 12/09/2022 | 22:06:17 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1185 | 12/09/2022 | 22:06:17 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1186 | 12/09/2022 | 22:06:38 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
1187 | 12/09/2022 | 22:06:39 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1188 | 12/09/2022 | 22:06:50 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1189 | 12/09/2022 | 22:06:51 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
118a | 12/09/2022 | 22:07:06 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
118b | 12/09/2022 | 22:07:06 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
118c | 12/09/2022 | 22:07:06 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
118d | 12/09/2022 | 22:07:18 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
